id,_fivetran_synced,allow_channelback,assignee_id,brand_id,created_at,description,due_at,external_id,forum_topic_id,group_id,has_incidents,is_public,organization_id,priority,problem_id,recipient,requester_id,status,subject,submitter_id,system_client,ticket_form_id,type,updated_at,url,via_channel,via_source_from_id,via_source_from_title,via_source_rel,via_source_to_address,via_source_to_name,merged_ticket_ids,via_source_from_address,followup_ids,via_followup_source_id
1595,2020-03-20 2:32:49,FALSE,,360003529474a,2020-02-19 1:54:52,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I ...,,,,360006965034a,FALSE,TRUE,370295712714a,,,email@email.com,396331237134a,deleted,subject1,396331237134a,,360002048693a,,2020-02-19 1:55:11,https://zendesk.com/api/v2/tickets/1595.json,web,,,,example@email.com,,[],,,
16988,2021-01-13 20:09:16,FALSE,418284131934a,360003529474,2020-12-22 0:19:23,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, informatio...",,,,360013366274,FALSE,TRUE,370469077513,,,email@email.com,1500656884401,solved,subject1,1500656884401,,360002048693,,2021-01-13 18:42:39,https://zendesk.com/api/v2/tickets/16988.json,email,,,,example@email.com,Support,[],,[],
14173,2020-11-11 20:08:45,FALSE,396371699653,360003529474,2020-10-28 12:03:02,"I sent it to my 85 year old Dad, and he talks to it constantly.",,,,360006965034,FALSE,TRUE,370321120273,,,email@email.com,424883466453,closed,subject1,424883466453,,360002048693,,2020-11-11 17:01:32,https://zendesk.com/api/v2/tickets/14173.json,email,,,,example@email.com,Support,[],,,
11071,2020-10-02 14:08:33,FALSE,,360003529474,2020-08-28 18:06:36,"I love it, wife hates it.",,,,,FALSE,TRUE,,,,email@email.com,419755385214,deleted,subject1,419755385214,,360002048693,,2020-09-02 11:01:27,https://zendesk.com/api/v2/tickets/11071.json,email,,,,X,Support,[],,,
1966,2020-03-25 20:32:24,FALSE,396315360434,360003529474,2020-02-27 6:05:08,She doesn’t always listen,,,,360006965034,FALSE,TRUE,370295721514,,,email@email.com,402813302773,closed,subject1,402813302773,,360002048693,,2020-03-25 16:03:26,https://zendesk.com/api/v2/tickets/1966.json,email,,,,example@email.com,Support,[1967],,,
11013,2020-10-02 20:08:20,FALSE,402851697393,360003529474,2020-08-27 23:09:52,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit in...,,,,360008376313,FALSE,TRUE,370297881854,,,email@email.com,419688934974,deleted,subject1,419688934974,,360002048693,,2020-09-02 15:53:16,https://zendesk.com/api/v2/tickets/11013.json,email,,,,X,Support,[],,,
1404,2020-03-05 4:53:46,FALSE,396371699653,360003529474,2020-02-13 21:43:58,Some major design flaws,,,,360006965034,FALSE,TRUE,370295709874,,,email@email.com,403125197514,closed,subject1,403125197514,,360002048693,,2020-02-28 1:01:57,https://zendesk.com/api/v2/tickets/1404.json,email,,,,example@email.com,Support,,,,
4721,2020-05-14 20:12:36,FALSE,396371706773,360003529474,2020-04-20 14:31:46,Huge disappointment,,,,360006965034,FALSE,TRUE,370295719414,,,email@email.com,402862357193,closed,subject1,402862357193,,360002048693,,2020-05-14 20:04:34,https://zendesk.com/api/v2/tickets/4721.json,email,,,,example@email.com,Support,[],,,
6171,2020-06-01 2:11:40,FALSE,396334400494,360003529474,2020-05-17 17:50:31,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening ",,,,360006965034,FALSE,TRUE,370295713034,,,email@email.com,410930434074,closed,subject1,410930434074,,360002048693,,2020-05-31 23:03:46,https://zendesk.com/api/v2/tickets/6171.json,email,,,,example@email.com,Support,[],,,
6605,2020-06-10 2:10:24,FALSE,396315360434,360003529474,2020-05-26 22:29:50,Full display not working in all application.,,,,360006965034,FALSE,TRUE,370295719754,,,email@email.com,410416672973,closed,subject1,410416672973,,360002048693,,2020-06-09 23:03:49,https://zendesk.com/api/v2/tickets/6605.json,email,,,,example@email.com,Support,[],,,
